event_id,game,period,team,frame,passer,candidate,is_receiver,distance,forward_progress,lateral_change,receiver_defender_distance,lane_clearance,target_x,target_y
g2-p1-f51-1,2,1,Away,51,Player23,Player25,0,0.4990106902662508,-0.49901000000000006,0.0008299999999999974,0.4990106902662508,0.0,0.00315,0.50293
g2-p1-f51-1,2,1,Away,51,Player23,Player15,0,0.33772008661019853,-0.11688000000000004,0.31684999999999997,0.15176742502922025,0.0,0.38528,0.82061
g2-p1-f51-1,2,1,Away,51,Player23,Player16,0,0.20341586270495232,-0.19366000000000005,0.06223999999999996,0.20341586270495232,0.0,0.3085,0.566
g2-p1-f51-1,2,1,Away,51,Player23,Player17,0,0.2047978107793148,-0.18763000000000007,0.08207999999999999,0.19910853773758672,0.0,0.31453,0.42168
g2-p1-f51-1,2,1,Away,51,Player23,Player18,0,0.2387741537520341,-0.13578000000000007,0.19640999999999997,0.14251231666070127,0.0,0.36638,0.30735
g2-p1-f51-1,2,1,Away,51,Player23,Player19,0,0.41088361527323036,-0.00723000000000007,0.41081999999999996,0.1336829940568358,0.0,0.49493,0.91458
g2-p1-f51-1,2,1,Away,51,Player23,Player20,1,0.10194424996045638,-0.10174000000000005,0.006450000000000067,0.10194424996045638,0.0,0.40042,0.51021
g2-p1-f51-1,2,1,Away,51,Player23,Player21,0,0.1439847620409882,-0.06921000000000005,0.12625999999999998,0.07271935780794543,0.0,0.43295,0.3775
g2-p1-f51-1,2,1,Away,51,Player23,Player22,0,0.4813516308271948,-0.007050000000000056,0.4813,0.24379984577517677,0.0,0.49511,0.02246
g2-p1-f51-1,2,1,Away,51,Player23,Player24,0,0.14211917886056052,-0.006510000000000071,0.14196999999999999,0.010545525117318719,0.0,0.49565,0.36179
g2-p1-f51-1,2,1,Away,51,Player23,Ball,0,0.0,0.0,0.0,0.0,0.0,0.50216,0.50376
g2-p1-f146-2,2,1,Away,146,Player20,Player25,0,0.41111121621770425,-0.41111,0.0010000000000000009,0.4109027745099807,0.0005105093019132095,0.01396,0.50054
g2-p1-f146-2,2,1,Away,146,Player20,Player15,0,0.3011205022910264,-0.0005499999999999949,0.30112000000000005,0.13038860763118845,0.00020906812894178913,0.42452,0.80266
g2-p1-f146-2,2,1,Away,146,Player20,Player16,0,0.11452217427205966,-0.09710000000000002,0.060719999999999996,0.11407416973180215,0.00032107144519152674,0.32797,0.56226
g2-p1-f146-2,2,1,Away,146,Player20,Player17,0,0.1350743062169856,-0.09231,0.09860999999999998,0.13530404428545365,0.0005515432893255122,0.33276,0.40293
g2-p1-f146-2,2,1,Away,146,Player20,Player18,1,0.2436385244578533,-0.010550000000000004,0.24340999999999996,0.16645970383248918,0.0005515432893255122,0.41452,0.25813
g2-p1-f146-2,2,1,Away,146,Player20,Player19,0,0.38084923132389287,0.13111,0.35757000000000005,0.12199675159609781,0.00037273489959933437,0.55618,0.85911
g2-p1-f146-2,2,1,Away,146,Player20,Player21,0,0.15592368678299007,0.060850000000000015,0.14355999999999997,0.0678321752562897,0.0005515432893255122,0.48592,0.35798
g2-p1-f146-2,2,1,Away,146,Player20,Player22,0,0.5096239305605654,0.15045000000000003,0.48691,0.2146100020968268,0.0005515432893255122,0.57552,0.01463
g2-p1-f146-2,2,1,Away,146,Player20,Player23,0,0.15445758576385948,0.15277000000000002,0.022770000000000068,0.01352834062255971,0.0005515432893255122,0.57784,0.52431
g2-p1-f146-2,2,1,Away,146,Player20,Player24,0,0.17094443102950152,0.13847000000000004,0.10024,0.034310728642802095,0.0005515432893255122,0.56354,0.4013
g2-p1-f146-2,2,1,Away,146,Player20,Ball,0,0.0005515432893255122,-0.00020999999999998797,0.0005100000000000104,0.0,0.0,0.42486,0.50205
g2-p1-f248-3,2,1,Away,248,Player18,Player25,0,0.4953892785476892,-0.40038,0.29173,0.4006976458628126,0.0004924400074123186,0.06462,0.47852
g2-p1-f248-3,2,1,Away,248,Player18,Player15,0,0.587792713973217,-0.016890000000000016,0.58755,0.20165283880967305,0.00016430537110129136,0.44811,0.77434
g2-p1-f248-3,2,1,Away,248,Player18,Player16,0,0.40511853142012644,-0.13822,0.38081,0.184254552725299,0.00031159152250452083,0.32678,0.5676
g2-p1-f248-3,2,1,Away,248,Player18,Player17,1,0.17973480519921567,-0.14411000000000002,0.10741,0.1627979683534165,0.0004905365986419533,0.32089,0.2942
g2-p1-f248-3,2,1,Away,248,Player18,Player19,0,0.6256686424138579,0.10198999999999997,0.6173,0.17526224265368737,6.648886835611366e-05,0.56699,0.80409
g2-p1-f248-3,2,1,Away,248,Player18,Player20,0,0.30505835261470876,0.01743,0.30456,0.05040171822467962,0.00012118665062973236,0.48243,0.49135
g2-p1-f248-3,2,1,Away,248,Player18,Player21,0,0.07192396054167206,0.0378,0.061189999999999994,0.03080198694889664,0.00013516358007523163,0.5028,0.24798
g2-p1-f248-3,2,1,Away,248,Player18,Player22,0,0.19523298722295881,0.09091999999999995,0.17277,0.15086687376624466,0.0005220153254455232,0.55592,0.01402
g2-p1-f248-3,2,1,Away,248,Player18,Player23,0,0.3848142214107997,0.19386999999999993,0.33241,0.03953267509288995,0.0001223278594731318,0.65887,0.5192
g2-p1-f248-3,2,1,Away,248,Player18,Player24,0,0.1941748297282631,0.18776999999999994,0.049459999999999976,0.051895389005190105,0.0004452997338584295,0.65277,0.23625
g2-p1-f248-3,2,1,Away,248,Player18,Ball,0,0.0005220153254455232,0.00014999999999998348,0.0005000000000000004,0.0,0.0,0.46515,0.18729
g2-p1-f316-4,2,1,Away,316,Player17,Player25,0,0.25449052791803467,-0.20608,0.14932,0.25586285115272206,0.001517168415173479,0.08723,0.46587
g2-p1-f316-4,2,1,Away,316,Player17,Player15,0,0.5578312924173401,0.11607999999999996,0.54562,0.2060457720993081,0.001517168415173479,0.40939,0.86217
g2-p1-f316-4,2,1,Away,316,Player17,Player16,1,0.2593300416457762,-0.01544000000000001,0.25887000000000004,0.14502756186325413,0.001517168415173479,0.27787,0.57542
g2-p1-f316-4,2,1,Away,316,Player17,Player18,0,0.2684332440291254,0.15092,0.22199,0.13252287538383703,0.0001440615157033376,0.44423,0.09456
g2-p1-f316-4,2,1,Away,316,Player17,Player19,0,0.6350846255421398,0.2938,0.56304,0.1244571098812759,0.001517168415173479,0.58711,0.87959
g2-p1-f316-4,2,1,Away,316,Player17,Player20,0,0.2577475295710902,0.16469,0.19827000000000006,0.045323064768393574,0.001517168415173479,0.458,0.51482
g2-p1-f316-4,2,1,Away,316,Player17,Player21,0,0.13815149112477937,0.13667999999999997,0.020110000000000017,0.05197621475251928,0.0012095714540574247,0.42999,0.29644
g2-p1-f316-4,2,1,Away,316,Player17,Player22,0,0.39613718128951236,0.2747,0.28542,0.1648899284371244,0.00039631321525778276,0.56801,0.03113
g2-p1-f316-4,2,1,Away,316,Player17,Player23,0,0.43409322892669044,0.35017000000000004,0.25655000000000006,0.043444858153756295,0.001517168415173479,0.64348,0.5731
g2-p1-f316-4,2,1,Away,316,Player17,Player24,0,0.3341217517612405,0.33307000000000003,0.026490000000000014,0.08762032697953141,0.0012679372048268437,0.62638,0.29006
g2-p1-f316-4,2,1,Away,316,Player17,Ball,0,0.001517168415173479,0.0007300000000000084,0.0013299999999999979,0.0,0.0,0.29404,0.31522
g2-p1-f395-5,2,1,Away,395,Player16,Player25,0,0.23534990737198097,-0.16733000000000003,0.16550000000000004,0.23402019763259754,0.001562998278212992,0.08969,0.49287
g2-p1-f395-5,2,1,Away,395,Player16,Player15,1,0.24364384929646796,0.03592999999999996,0.24097999999999997,0.14015271563548098,0.0020554804791094415,0.29295,0.89935
g2-p1-f395-5,2,1,Away,395,Player16,Player17,0,0.2796486574257062,-0.013960000000000028,0.2793,0.15055466283048158,0.000252148537558164,0.24306,0.37907
g2-p1-f395-5,2,1,Away,395,Player16,Player18,0,0.6210123925494563,0.13305999999999996,0.60659,0.25935479502025793,0.00029272282192906754,0.39008,0.05178
g2-p1-f395-5,2,1,Away,395,Player16,Player19,0,0.3532956804151446,0.25737,0.24202999999999997,0.06534286495096461,0.0020554804791094415,0.51439,0.9004
g2-p1-f395-5,2,1,Away,395,Player16,Player20,0,0.13913253573481651,0.12563999999999997,0.05976999999999999,0.0421904313796387,0.0017867603626071727,0.38266,0.5986
g2-p1-f395-5,2,1,Away,395,Player16,Player21,0,0.285307722468215,0.11885999999999997,0.25937,0.04994291941807165,0.0007176724773820776,0.37588,0.399
g2-p1-f395-5,2,1,Away,395,Player16,Player22,0,0.6415566594619683,0.31148,0.56087,0.17685139637560116,0.0008641536048662257,0.5685,0.0975
g2-p1-f395-5,2,1,Away,395,Player16,Player23,0,0.3517010210391775,0.35151,0.01158999999999999,0.02603832751925514,0.0020538296928047086,0.60853,0.66996
g2-p1-f395-5,2,1,Away,395,Player16,Player24,0,0.41321495919194406,0.31411,0.26848,0.11132611778015075,0.001460870393415729,0.57113,0.38989
g2-p1-f395-5,2,1,Away,395,Player16,Ball,0,0.0020554804791094415,0.00014999999999998348,0.0020499999999999963,0.0,0.0,0.25717,0.65632
g2-p1-f672-12,2,1,Away,672,Player15,Player25,0,0.5948478329791577,-0.3539,0.4781199999999999,0.3509847268756861,0.0,0.14288,0.53024
g2-p1-f672-12,2,1,Away,672,Player15,Player16,1,0.18427040619697996,-0.16149000000000002,0.08874999999999988,0.14443965141193055,0.0,0.33529,0.91961
g2-p1-f672-12,2,1,Away,672,Player15,Player17,0,0.40738876395894863,-0.10894999999999999,0.39254999999999995,0.09706131721751973,0.0,0.38783,0.61581
g2-p1-f672-12,2,1,Away,672,Player15,Player18,0,0.6415664032662558,-0.06877,0.6378699999999999,0.2460131339989798,0.0,0.42801,0.37049
g2-p1-f672-12,2,1,Away,672,Player15,Player19,0,0.14472363317716977,0.13444,0.05357999999999996,0.0556342790013495,0.0,0.63122,0.95478
